time,LAT,LON,total_winter_precipitation_amount,sd_days_high
2022,38.016537,-3.4418843,471.8923,0
2022,38.895813,16.490854,889.9239,0
2022,38.625244,16.162663,1125.1497,0
2022,38.239056,16.031742,937.76416,0
2022,37.91351,22.7066,493.17044,0
2022,37.91351,22.7066,482.47046,0
2022,38.47842,-0.56852496,285.70917,0
2022,38.625244,16.162663,805.7003,0
2022,38.05971,21.900587,594.11444,0
2022,37.508102,22.50643,488.5717,0
2022,37.91351,22.7066,609.03345,0
2022,37.91351,22.7066,659.48346,0
2022,37.874542,-7.81713,384.65604,0
2022,38.016537,-3.4418843,386.49985,0
2022,38.001648,-1.4854227,265.4782,0
2022,37.508102,22.50643,586.03394,0
2022,37.91351,22.7066,677.95636,0
2022,36.79949,30.890184,1062.5376,0
2022,37.435795,-5.682968,374.1956,0
2022,37.99239,-4.8093343,489.19653,0
2022,38.016537,-3.4418843,410.07977,0
2022,38.248493,20.597647,628.35425,0
2022,38.05971,21.900587,678.33044,0
2022,38.05971,21.900587,679.9046,0
2022,37.91351,22.7066,663.3741,0
2022,38.05971,21.900587,684.7073,0
2022,37.91351,22.7066,663.76733,0
2022,38.05971,21.900587,716.706,0
2022,37.91351,22.7066,718.1284,0
2022,37.013577,28.46994,741.4013,37
2022,36.79949,30.890184,904.9197,69
2022,37.013577,28.46994,762.42395,81
2022,38.92499,-3.8273711,318.88028,0
2022,38.016537,-3.4418843,294.9934,0
2022,38.92499,-3.8273711,372.90802,0
2022,38.016537,-3.4418843,338.6654,0
2022,39.36992,-0.8000286,365.74478,0
2022,39.36992,-0.8000286,480.59302,0
2022,39.208893,8.563791,479.36755,0
2022,38.625244,16.162663,806.64886,0
2022,38.05971,21.900587,736.44836,0
2022,37.91351,22.7066,758.5721,0
2022,37.013577,28.46994,774.49805,65
2022,37.013577,28.46994,726.0814,71
2022,37.57662,-6.829075,630.9746,0
2022,36.79949,30.890184,1304.6426,0
2022,37.57662,-6.829075,555.01935,0
2022,38.001648,-1.4854227,264.35928,0
2022,38.05971,21.900587,506.98602,0
2022,38.05971,21.900587,547.39496,0
2022,37.013577,28.46994,759.5673,41
2022,37.013577,28.46994,537.50275,0
2022,36.79949,30.890184,615.05255,0
2022,37.99239,-4.8093343,381.82327,0
2022,39.36992,-0.8000286,407.35864,0
2022,38.05971,21.900587,916.3924,0
2022,37.013577,28.46994,688.0814,0
2022,37.738213,29.243742,934.70905,0
2022,37.013577,28.46994,855.2336,0
2022,36.79949,30.890184,947.16736,96
2022,36.79949,30.890184,1410.3417,0
2022,37.57662,-6.829075,523.8229,0
2022,38.946453,1.4164197,345.46927,0
2022,37.97538,23.756296,407.49338,0
2022,37.013577,28.46994,897.7205,0
2022,38.92499,-3.8273711,396.313,0
2022,38.020264,23.67075,320.10565,0
2022,37.90946,23.741667,306.61395,0
2022,37.013577,28.46994,1061.3353,0
2022,37.013577,28.46994,845.891,0
2022,37.41776,30.066254,759.97784,0
2022,36.79949,30.890184,1082.1552,104
2022,38.895813,16.490854,879.6263,0
2022,39.565205,16.322412,682.5497,0
2022,38.37014,23.089375,527.8159,0
2022,37.738213,29.243742,831.49097,0
2022,37.013577,28.46994,769.0886,0
2022,37.013577,28.46994,520.8693,0
2022,36.79949,30.890184,1168.3198,0
2022,39.562473,8.749774,478.05847,0
2022,39.565205,16.322412,805.72424,0
2022,38.895813,16.490854,809.41254,0
2022,39.177227,16.947363,916.2256,0
2022,37.738213,29.243742,1221.2427,0
2022,37.013577,28.46994,349.2482,0
2022,39.565205,16.322412,888.8981,0
2022,38.895813,16.490854,957.8288,0
2022,38.895813,16.490854,819.6164,0
2022,39.177227,16.947363,892.6681,0
2022,39.177227,16.947363,1014.6217,0
2022,38.895813,16.490854,933.9546,0
2022,39.177227,16.947363,1011.5884,0
2022,38.37014,23.089375,710.7843,0
2022,38.05187,23.826036,544.3422,0
2022,37.738213,29.243742,667.33075,0
2022,37.013577,28.46994,631.42,0
2022,37.41776,30.066254,389.33878,0
2022,39.565205,16.322412,727.0517,0
2022,38.895813,16.490854,775.55347,0
2022,38.895813,16.490854,810.9943,0
2022,39.565205,16.322412,880.7345,0
2022,39.177227,16.947363,830.6003,0
2022,38.895813,16.490854,871.5093,0
2022,38.09459,23.39491,456.23172,0
2022,37.013577,28.46994,698.9645,0
2022,37.013577,28.46994,856.4253,0
2022,36.79949,30.890184,476.27603,0
2022,37.98802,-8.553622,421.52927,0
2022,38.825535,-1.9808112,380.6117,0
2022,39.565205,16.322412,746.5968,0
2022,38.895813,16.490854,775.6652,0
2022,38.695377,20.676582,617.74634,0
2022,38.37014,23.089375,751.937,0
2022,38.036766,23.88778,534.2578,0
2022,37.013577,28.46994,626.1835,0
2022,36.69145,33.85069,639.5709,0
2022,39.565205,16.322412,730.6061,0
2022,38.539146,22.254133,744.8869,0
2022,38.37014,23.089375,1177.7448,40
2022,37.682137,26.58478,825.9091,0
2022,37.013577,28.46994,629.1828,0
2022,38.709827,-6.1410522,328.5257,0
2022,38.975525,21.675253,1027.8492,0
2022,38.37014,23.089375,904.8578,0
2022,38.37014,23.089375,904.296,0
2022,38.37014,23.089375,905.9831,0
2022,38.37014,23.089375,1214.6952,44
2022,38.37014,23.089375,1186.5828,31
2022,38.37014,23.089375,1188.3191,31
2022,37.738213,29.243742,752.7523,0
2022,39.177227,16.947363,742.58685,0
2022,39.177227,16.947363,731.5765,0
2022,38.681946,21.382214,619.8931,0
2022,38.37014,23.089375,802.2745,0
2022,38.37014,23.089375,952.5832,0
2022,37.741234,27.999025,387.52017,0
2022,39.89659,-2.195726,265.16165,0
2022,39.379025,9.166134,341.10623,0
2022,39.8955,9.515399,312.49393,0
2022,39.565205,16.322412,690.23816,0
2022,39.177227,16.947363,710.48065,0
2022,39.177227,16.947363,810.8487,0
2022,38.975525,21.675253,912.15967,0
2022,37.060146,33.2161,447.26602,0
2022,36.69145,33.85069,551.3608,0
2022,39.612076,2.9567852,373.7098,0
2022,40.30293,9.301192,414.35425,0
2022,39.379025,9.166134,426.4484,0
2022,39.987263,8.71898,390.68314,0
2022,39.8955,9.515399,398.17242,0
2022,39.379025,9.166134,362.65204,0
2022,39.565205,16.322412,641.3384,0
2022,39.177227,16.947363,768.5653,0
2022,39.177227,16.947363,789.80365,0
2022,38.975525,21.675253,790.1097,0
2022,38.562466,23.814247,606.28564,0
2022,37.738213,29.243742,418.56827,0
2022,37.738213,29.243742,317.88248,0
2022,37.41776,30.066254,379.1135,0
2022,36.79949,30.890184,1202.3027,0
2022,38.6038,-7.841842,461.90268,0
2022,38.92499,-3.8273711,268.7304,0
2022,39.565205,16.322412,454.6603,0
2022,37.41776,30.066254,290.62228,0
2022,36.69145,33.85069,514.1022,0
2022,36.69145,33.85069,622.091,0
2022,39.987263,8.71898,428.5953,0
2022,39.987263,8.71898,439.34183,0
2022,40.30293,9.301192,463.7679,0
2022,39.379025,9.166134,472.39883,0
2022,39.8955,9.515399,460.38528,0
2022,38.975525,21.675253,652.50745,0
2022,37.060146,33.2161,297.48395,0
